trial,respColour,colour,err_colour,err_colour_z,cue,respMem_1,sens_Resp,err_1,confMem_1,zconfMem_1,err1_cal,respMem_2,correctMem_2,err_2,confMem_2,zconfMem_2,err2_cal,response_1,correct_1,conf_1,zconf_1,subID,conf,zconf,errDiff,errDiff_cal,errDiff_cal_abs,cue_category,colour_name,lbound,ubound,colour_ans,cueID,colourCal,colourCue
249,36,315,4,-0.365891546342601,30,328,319,13,6,-0.823655052457131,9,28,0,73,28,0.776936897145231,69,1,0,3,-0.795169869144846,50,4,-0.189510030979223,60,60,60,town,315,310.5,319.5,35,20,34,34
250,2,252,31,0.126216635537859,36,15,283,123,38,0.874055844716988,92,316,0,64,7,-0.689640616567115,33,2,0,4,0.064473232633366,50,4,-0.189510030979223,-59,-59,59,school,252,247.5,256.5,28,24,27,27
251,12,126,39,0.272026467206143,52,108,87,18,38,0.874055844716988,21,150,0,24,29,0.846773921607724,63,1,0,4,0.064473232633366,50,4,-0.189510030979223,6,42,42,sea,126,121.5,130.5,14,32,13,13
252,34,45,8,-0.292986630508459,41,310,37,95,8,-0.717548121383749,87,252,0,153,11,-0.410292518717145,145,2,0,3,-0.795169869144846,50,3,-1.03177683533133,58,58,58,forest,45,40.5,49.5,5,26,4,4
253,2,360,350,5.9403836733107,5,16,10,16,83,3.26146179386809,6,358,0,2,14,-0.200781445329667,12,1,0,4,0.064473232633366,50,4,-0.189510030979223,-14,6,6,lake,360,355.5,364.5,40,5,39,39
254,13,108,20,-0.0742718830060324,33,115,88,7,50,1.51069743115728,27,75,0,33,9,-0.54996656764213,13,1,1,6,1.78375943618979,50,6,1.49502357772499,26,-14,14,school,108,103.5,112.5,12,22,11,11
255,25,243,24,-0.00136696717189015,29,226,219,17,9,-0.664494655847057,7,224,0,19,11,-0.410292518717145,5,2,1,5,0.924116334411578,50,5,0.652756773372881,2,-2,2,town,243,238.5,247.5,27,19,26,26
256,29,225,5,-0.347665317384066,9,258,220,33,1,-1.08892238014059,38,238,0,13,24,0.497588799295261,18,2,0,4,0.064473232633366,50,5,0.652756773372881,-20,-20,20,mountain,225,220.5,229.5,25,8,24,24
257,33,279,4,-0.365891546342601,59,300,283,21,7,-0.77060158692044,17,0,0,81,19,0.148403676982797,77,1,1,4,0.064473232633366,50,4,-0.189510030979223,60,60,60,desert,279,274.5,283.5,31,39,30,30
258,12,333,26,0.035085490745181,49,112,307,139,50,1.51069743115728,165,112,0,139,10,-0.480129543179637,165,1,0,5,0.924116334411578,50,4,-0.189510030979223,0,0,0,forest,333,328.5,337.5,37,30,36,36
259,5,99,23,-0.0195931961304257,27,48,122,51,9,-0.664494655847057,74,29,0,70,9,-0.54996656764213,93,2,0,4,0.064473232633366,50,4,-0.189510030979223,19,19,19,town,99,94.5,103.5,11,17,10,10
260,20,180,9,-0.274760401549923,35,180,189,0,10,-0.611441190310366,9,219,0,39,60,3.011721679945,30,1,1,5,0.924116334411578,50,6,1.49502357772499,39,21,21,school,180,175.5,184.5,20,23,19,19
261,21,90,50,0.472514985750034,19,190,140,100,20,-0.080906534943454,50,230,0,140,16,-0.0611073964046811,90,1,1,2,-1.65481297092306,50,3,-1.03177683533133,40,40,40,city,90,85.5,94.5,10,12,9,9
262,8,63,4,-0.365891546342601,56,73,67,10,9,-0.664494655847057,6,54,0,9,6,-0.759477641029608,13,2,0,4,0.064473232633366,50,5,0.652756773372881,-1,7,7,desert,63,58.5,67.5,7,36,6,6
263,25,216,4,-0.365891546342601,3,227,212,11,48,1.4045905000839,15,288,0,72,13,-0.270618469792159,76,1,1,4,0.064473232633366,50,3,-1.03177683533133,61,61,61,lake,216,211.5,220.5,24,3,23,23
264,35,297,14,-0.183629256757246,11,311,311,14,7,-0.77060158692044,0,290,1,7,17,0.00872962805781159,21,2,0,4,0.064473232633366,50,5,0.652756773372881,-7,21,21,mountain,297,292.5,301.5,33,9,32,32
265,35,27,1,-0.420570233218208,26,316,26,71,43,1.13932317240044,70,36,0,9,11,-0.410292518717145,10,1,0,4,0.064473232633366,50,6,1.49502357772499,-62,-60,60,town,27,22.5,31.5,3,16,2,2
266,22,144,5,-0.347665317384066,2,201,139,57,6,-0.823655052457131,62,184,0,40,14,-0.200781445329667,45,2,0,6,1.78375943618979,50,5,0.652756773372881,-17,-17,17,lake,144,139.5,148.5,16,2,15,15
267,35,324,3,-0.384117775301137,40,311,321,13,29,0.396574654886767,10,184,0,140,9,-0.54996656764213,137,2,0,4,0.064473232633366,50,4,-0.189510030979223,127,127,127,school,324,319.5,328.5,36,25,35,35
268,27,117,16,-0.147176798840175,44,242,101,125,27,0.290467723813384,141,308,0,169,11,-0.410292518717145,153,2,1,3,-0.795169869144846,50,4,-0.189510030979223,44,12,12,forest,117,112.5,121.5,13,27,12,12
269,25,189,22,-0.0378194250889613,45,222,167,33,6,-0.823655052457131,55,341,0,152,45,1.96416631300761,174,1,0,4,0.064473232633366,50,3,-1.03177683533133,119,119,119,forest,189,184.5,193.5,21,28,20,20
270,34,261,49,0.454288756791499,46,302,212,41,5,-0.876708517993822,90,101,0,160,21,0.288077725907782,111,2,0,4,0.064473232633366,50,4,-0.189510030979223,119,21,21,forest,261,256.5,265.5,29,29,28,28
271,14,153,7,-0.311212859466995,8,129,160,24,15,-0.34617386262691,31,249,0,96,15,-0.130944420867174,89,2,0,2,-1.65481297092306,50,3,-1.03177683533133,72,58,58,mountain,153,148.5,157.5,17,7,16,16
272,19,81,53,0.527193672625641,6,167,134,86,36,0.767948913643605,33,146,0,65,2,-1.03882573887958,12,2,1,5,0.924116334411578,50,2,-1.87404363968343,-21,-21,21,mountain,81,76.5,85.5,9,6,8,8
273,38,162,7,-0.311212859466995,20,338,155,176,9,-0.664494655847057,177,20,0,142,10,-0.480129543179637,135,1,1,2,-1.65481297092306,50,6,1.49502357772499,-34,-42,42,city,162,157.5,166.5,18,13,17,17
274,4,36,10,-0.256534172591388,32,32,26,4,8,-0.717548121383749,6,32,1,4,14,-0.200781445329667,6,2,1,2,-1.65481297092306,50,4,-0.189510030979223,0,0,0,school,36,31.5,40.5,4,21,3,3
275,1,342,12,-0.220081714674317,55,5,330,23,9,-0.664494655847057,35,85,0,103,6,-0.759477641029608,115,1,1,4,0.064473232633366,50,6,1.49502357772499,80,80,80,sea,342,337.5,346.5,38,35,37,37
276,11,72,23,-0.0195931961304257,1,96,49,24,6,-0.823655052457131,47,136,0,64,10,-0.480129543179637,87,2,1,3,-0.795169869144846,50,3,-1.03177683533133,40,40,40,lake,72,67.5,76.5,8,1,7,7
